,filename,rouge-1_r,rouge-1_p,rouge-1_f,rouge-2_r,rouge-2_p,rouge-2_f,rouge-l_r,rouge-l_p,rouge-l_f
22,023.txt,1.0,0.472636815920398,0.6418918875330991,0.9612403100775194,0.40390879478827363,0.5688073352829097,1.0,0.472636815920398,0.6418918875330991
23,024.txt,0.9882352941176471,0.4827586206896552,0.6486486442390543,0.9541284403669725,0.4094488188976378,0.5730027506187344,0.9882352941176471,0.4827586206896552,0.6486486442390543
24,025.txt,0.9866666666666667,0.47435897435897434,0.6406926363074156,0.9587628865979382,0.40611353711790393,0.5705521430590162,0.9866666666666667,0.47435897435897434,0.6406926363074156
25,026.txt,1.0,0.49696969696969695,0.6639676069006212,0.9716981132075472,0.41365461847389556,0.5802816859521525,1.0,0.49696969696969695,0.6639676069006212
26,027.txt,0.9939393939393939,0.47262247838616717,0.6406249956317902,0.9565217391304348,0.3980263157894737,0.5621370457919309,0.9939393939393939,0.47262247838616717,0.6406249956317902
27,028.txt,1.0,0.5256410256410257,0.6890756257354708,0.9629629629629629,0.4388185654008439,0.6028985464236926,1.0,0.5256410256410257,0.6890756257354708
28,029.txt,1.0,0.5078125,0.6735751250664448,0.9595375722543352,0.4129353233830846,0.5773913001408847,1.0,0.5078125,0.6735751250664448
29,030.txt,0.9927007299270073,0.5666666666666667,0.7214854065138009,0.953757225433526,0.4714285714285714,0.6309751389761232,0.9927007299270073,0.5666666666666667,0.7214854065138009
30,031.txt,1.0,0.5059288537549407,0.6719160060368832,0.9682539682539683,0.43058823529411766,0.596091200950408,1.0,0.5059288537549407,0.6719160060368832
31,032.txt,1.0,0.49767441860465117,0.6645962688544038,0.9594594594594594,0.4303030303030303,0.5941422551390907,1.0,0.49767441860465117,0.6645962688544038
32,033.txt,1.0,0.464,0.6338797770909852,0.9580838323353293,0.3883495145631068,0.5526770252562188,1.0,0.464,0.6338797770909852
33,034.txt,0.9915966386554622,0.44866920152091255,0.6178010428309257,0.9523809523809523,0.3855421686746988,0.5488850730844482,0.9915966386554622,0.44866920152091255,0.6178010428309257
34,035.txt,0.9873417721518988,0.5032258064516129,0.6666666621940974,0.9504950495049505,0.4343891402714932,0.5962732876198835,0.9873417721518988,0.5032258064516129,0.6666666621940974
35,036.txt,1.0,0.4672489082969432,0.6369047575639527,0.961038961038961,0.4088397790055249,0.5736434066651644,1.0,0.4672489082969432,0.6369047575639527
36,037.txt,1.0,0.5214285714285715,0.6854460048843926,0.9696969696969697,0.47058823529411764,0.6336633619370651,1.0,0.5214285714285715,0.6854460048843926
37,038.txt,1.0,0.6013071895424836,0.7510204034732195,0.9774436090225563,0.49056603773584906,0.6532663272082776,1.0,0.6013071895424836,0.7510204034732195
38,039.txt,0.9934640522875817,0.5241379310344828,0.6862302437851913,0.9570815450643777,0.46265560165975106,0.6237762193826202,0.9934640522875817,0.5241379310344828,0.6862302437851913
39,040.txt,1.0,0.5346534653465347,0.6967741890081166,0.9755102040816327,0.4543726235741445,0.6199740553269375,1.0,0.5346534653465347,0.6967741890081166
40,041.txt,1.0,0.4648648648648649,0.634686342530739,0.9561752988047809,0.4013377926421405,0.5653710205702268,1.0,0.4648648648648649,0.634686342530739
41,042.txt,0.9869281045751634,0.4967105263157895,0.6608315053927001,0.95,0.408203125,0.5710382471617547,0.9869281045751634,0.4967105263157895,0.6608315053927001
42,043.txt,1.0,0.50920245398773,0.6747967434962655,0.9629629629629629,0.41935483870967744,0.5842696586946093,1.0,0.50920245398773,0.6747967434962655
43,044.txt,1.0,0.4142857142857143,0.5858585817161515,0.9487179487179487,0.3681592039800995,0.5304659457925772,1.0,0.4142857142857143,0.5858585817161515
44,045.txt,0.9900990099009901,0.5813953488372093,0.7326007279389232,0.9591836734693877,0.5300751879699248,0.6828087121221325,0.9900990099009901,0.5813953488372093,0.7326007279389232
45,046.txt,1.0,0.48582995951417,0.6539509492772239,0.9597701149425287,0.40931372549019607,0.5738831573202962,1.0,0.48582995951417,0.6539509492772239
46,047.txt,1.0,0.5307692307692308,0.6934673321532285,0.9716981132075472,0.4336842105263158,0.5997088749176324,1.0,0.5307692307692308,0.6934673321532285
47,048.txt,0.993103448275862,0.5,0.6651270163305582,0.9688888888888889,0.4560669456066946,0.6201991421625265,0.993103448275862,0.5,0.6651270163305582
48,049.txt,0.993006993006993,0.5182481751824818,0.6810551513687467,0.9619047619047619,0.44395604395604393,0.6075187926711516,0.993006993006993,0.5182481751824818,0.6810551513687467
49,050.txt,1.0,0.40443213296398894,0.5759368795283389,0.9534883720930233,0.3355155482815057,0.49636803489013254,1.0,0.40443213296398894,0.5759368795283389
