,filename,rouge-1_r,rouge-1_p,rouge-1_f,rouge-2_r,rouge-2_p,rouge-2_f,rouge-l_r,rouge-l_p,rouge-l_f
17,018.txt,0.36619718309859156,0.7428571428571429,0.4905660333125668,0.20454545454545456,0.47368421052631576,0.28571428150163775,0.352112676056338,0.7142857142857143,0.4716981087842649
18,019.txt,0.1390728476821192,0.7,0.23204419612954427,0.04838709677419355,0.3870967741935484,0.08602150340103548,0.1390728476821192,0.7,0.23204419612954427
19,020.txt,0.16911764705882354,0.7666666666666667,0.27710843077369723,0.05181347150259067,0.29411764705882354,0.08810572432533144,0.16911764705882354,0.7666666666666667,0.27710843077369723
20,021.txt,0.1038961038961039,0.6153846153846154,0.1777777753061729,0.04716981132075472,0.3225806451612903,0.08230452452302332,0.1038961038961039,0.6153846153846154,0.1777777753061729
21,022.txt,0.08888888888888889,0.35294117647058826,0.14201183110535354,0.010869565217391304,0.047619047619047616,0.017699112018169517,0.07407407407407407,0.29411764705882354,0.11834319205209912
22,023.txt,0.21052631578947367,0.6666666666666666,0.31999999635200005,0.08527131782945736,0.3793103448275862,0.13924050333199814,0.18947368421052632,0.6,0.287999996352
23,024.txt,0.1411764705882353,0.3870967741935484,0.20689654780766947,0.009174311926605505,0.029411764705882353,0.013986010361387803,0.1411764705882353,0.3870967741935484,0.20689654780766947
24,025.txt,0.25333333333333335,0.8636363636363636,0.39175257381230744,0.12371134020618557,0.5454545454545454,0.20168066925499614,0.22666666666666666,0.7727272727272727,0.3505154604102455
25,026.txt,0.15853658536585366,0.6842105263157895,0.257425739519655,0.09433962264150944,0.38461538461538464,0.15151514835169888,0.15853658536585366,0.6842105263157895,0.257425739519655
26,027.txt,0.1696969696969697,0.9333333333333333,0.28717948457593695,0.07905138339920949,0.5714285714285714,0.13888888675371336,0.16363636363636364,0.9,0.2769230743195267
27,028.txt,0.2073170731707317,0.68,0.3177570057646957,0.07407407407407407,0.2962962962962963,0.1185185153185186,0.2073170731707317,0.68,0.3177570057646957
28,029.txt,0.19230769230769232,0.6410256410256411,0.29585798461538465,0.12716763005780346,0.5,0.20276497372549854,0.19230769230769232,0.6410256410256411,0.29585798461538465
29,030.txt,0.0948905109489051,0.65,0.16560509331818735,0.03468208092485549,0.2857142857142857,0.06185566817249447,0.08759124087591241,0.6,0.15286623981500266
30,031.txt,0.15625,0.8333333333333334,0.26315789207756235,0.07936507936507936,0.5555555555555556,0.1388888867013889,0.1484375,0.7916666666666666,0.24999999734072023
31,032.txt,0.18691588785046728,0.5405405405405406,0.27777777395929787,0.06756756756756757,0.2127659574468085,0.10256409890545708,0.1588785046728972,0.4594594594594595,0.23611110729263124
32,033.txt,0.20689655172413793,0.5853658536585366,0.30573248021745303,0.11377245508982035,0.3958333333333333,0.17674418257825858,0.19827586206896552,0.5609756097560976,0.2929936267142684
33,034.txt,0.03361344537815126,0.25,0.05925925716982175,0.005952380952380952,0.05263157894736842,0.010695185340158737,0.025210084033613446,0.1875,0.04444444235500696
34,035.txt,0.3037974683544304,0.6486486486486487,0.4137930991037455,0.16831683168316833,0.425,0.24113474770886784,0.27848101265822783,0.5945945945945946,0.37931034048305584
35,036.txt,0.2897196261682243,0.9393939393939394,0.4428571392540817,0.2012987012987013,0.7948717948717948,0.32124352009127766,0.2803738317757009,0.9090909090909091,0.42857142496836736
36,037.txt,0.1917808219178082,0.8235294117647058,0.3111111080469136,0.13131313131313133,0.65,0.21848739216157054,0.1780821917808219,0.7647058823529411,0.28888888582469135
37,038.txt,0.1956521739130435,0.6428571428571429,0.29999999642222225,0.10526315789473684,0.4,0.1666666633680556,0.18478260869565216,0.6071428571428571,0.28333332975555553
38,039.txt,0.1111111111111111,0.6071428571428571,0.18784530125209858,0.030042918454935622,0.22580645161290322,0.05303030095758731,0.1111111111111111,0.6071428571428571,0.18784530125209858
39,040.txt,0.11728395061728394,0.59375,0.1958762859049846,0.053061224489795916,0.34210526315789475,0.09187278919452116,0.11728395061728394,0.59375,0.1958762859049846
40,041.txt,0.08139534883720931,0.7,0.1458333314670139,0.01593625498007968,0.19047619047619047,0.029411763280979743,0.0755813953488372,0.65,0.13541666480034723
41,042.txt,0.13071895424836602,0.6666666666666666,0.21857923223147904,0.05909090909090909,0.41935483870967744,0.10358565520547297,0.11764705882352941,0.6,0.19672130873421126
42,043.txt,0.39759036144578314,0.7674418604651163,0.5238095193134291,0.23148148148148148,0.5555555555555556,0.3267973814686659,0.39759036144578314,0.7674418604651163,0.5238095193134291
43,044.txt,0.4482758620689655,0.6666666666666666,0.5360824694186417,0.20512820512820512,0.3902439024390244,0.26890755850857995,0.41379310344827586,0.6153846153846154,0.49484535601658
44,045.txt,0.2376237623762376,0.7058823529411765,0.35555555178710563,0.1292517006802721,0.4523809523809524,0.201058197601411,0.2079207920792079,0.6176470588235294,0.31111110734266123
45,046.txt,0.1,0.631578947368421,0.17266186814347087,0.022988505747126436,0.17391304347826086,0.04060913499342946,0.1,0.631578947368421,0.17266186814347087
46,047.txt,0.14492753623188406,0.6060606060606061,0.23391812554016622,0.06132075471698113,0.34210526315789475,0.10399999742208006,0.14492753623188406,0.6060606060606061,0.23391812554016622
47,048.txt,0.13793103448275862,0.7142857142857143,0.23121387011928235,0.05333333333333334,0.36363636363636365,0.09302325358301791,0.1310344827586207,0.6785714285714286,0.21965317647766386
48,049.txt,0.14685314685314685,0.8076923076923077,0.2485207074556213,0.06190476190476191,0.41935483870967744,0.10788381518568901,0.14685314685314685,0.8076923076923077,0.2485207074556213
49,050.txt,0.1506849315068493,0.7333333333333333,0.2499999971720041,0.08372093023255814,0.5294117647058824,0.1445783108949856,0.1506849315068493,0.7333333333333333,0.2499999971720041
